Wall time,Step,Value
1622490600.2189245,660033,-100.43769073486328
1622490704.660655,663283,-99.9323959350586
1622490865.3347743,668062,-100.09549713134766
1622490916.4073389,669637,-100.28572845458984
1622490991.7947118,671975,-101.03610229492188
1622491318.5934196,681928,-101.10539245605469
1622491643.3175693,691816,-101.28091430664062
1622491696.629343,693254,-101.64102935791016
1622492258.8444512,710277,-102.02877044677734
1622492292.2654722,711319,-101.67744445800781
1622492317.6841662,712111,-102.33935546875
1622492475.5726414,716796,-102.6141357421875
1622492612.0783026,721038,-102.84614562988281
1622492882.513365,729213,-103.80187225341797
1622492963.745065,731737,-103.54449462890625
1622493356.5173502,743518,-103.43147277832031
1622493569.114132,750133,-103.99283599853516
1622493817.9666142,757657,-104.32984924316406
1622493908.6839015,760267,-104.93756866455078
1622493990.2936234,762809,-105.00035858154297
1622494254.2659123,770786,-105.14533996582031
1622494336.7730615,773346,-105.11483764648438
1622494369.481359,774361,-104.6682357788086
1622494680.4895833,783802,-105.24549102783203
1622494755.4619315,785912,-105.62325286865234
1622494775.993314,786554,-105.9613265991211
1622494798.4773893,787252,-104.92362213134766
1622494881.6014314,789837,-105.68238067626953
1622495182.0214071,798909,-105.8043441772461
1622495454.3542094,807146,-106.20622253417969
1622495463.4014673,807428,-105.92833709716797
1622495484.841894,808093,-106.5063705444336
1622495538.3048384,809754,-105.99798583984375
1622495591.6497302,811399,-106.53921508789062
1622495609.100089,811941,-106.5876693725586
1622495612.392385,812043,-106.94483184814453
1622495857.101552,819421,-107.00796508789062
1622495872.46978,819761,-107.21987915039062
1622495991.889042,823465,-106.78919219970703
1622496598.5729482,841660,-107.00238800048828
1622496710.3084536,845119,-107.11005401611328
1622497261.6707606,861762,-107.8663101196289
1622497418.0447688,866600,-107.88858032226562
1622497426.2726145,866856,-108.0596923828125
1622497728.210138,875994,-108.69508361816406
1622497776.093274,877265,-107.87310791015625
1622497785.713605,877563,-107.57699584960938
1622497830.8376765,878961,-107.87831115722656
1622497948.1690164,882607,-107.9598388671875
1622497963.0016325,883059,-108.69355773925781
1622498088.07581,886717,-108.8054428100586
1622498479.033009,898546,-109.1748275756836
1622498713.634402,905570,-109.25475311279297
1622498730.8963041,906106,-109.26463317871094
1622498856.0609927,909775,-108.49449920654297
1622498893.4726403,910935,-109.17218780517578
1622499091.2097638,917046,-109.01551818847656
1622499260.2208502,922065,-109.80013275146484
1622499289.3876398,922965,-109.1272201538086
1622499398.1768997,926109,-109.32952880859375
1622499471.2650173,928361,-109.3331298828125
1622499973.0806108,943449,-109.49128723144531
1622500060.545839,946150,-110.16402435302734
1622500120.6096392,948003,-109.45785522460938
1622500256.950656,952016,-110.36991882324219
1622500385.1768053,955982,-109.16038513183594
1622500486.6382546,958911,-110.27622985839844
1622500557.9656982,961117,-110.14148712158203
1622500875.3371048,970695,-110.015625
1622500879.6759613,970830,-110.68049621582031
1622501263.04685,982461,-111.04307556152344
1622501435.8977947,987592,-110.77066802978516
1622501674.7619238,994960,-111.24634552001953
1622501880.9541116,1001155,-110.50880432128906
1622502022.8735812,1005527,-110.99860382080078
1622502127.6760778,1008572,-111.19218444824219
1622502169.551434,1009872,-111.81132507324219
1622502308.977239,1013962,-111.27574157714844
1622502378.0061078,1016086,-111.46151733398438
1622502686.268663,1025398,-110.5883560180664
1622503054.6362548,1036545,-111.972412109375
1622503076.1886168,1037207,-110.83502960205078
1622503350.3262587,1045434,-111.9588623046875
1622503564.8890984,1051818,-111.8067626953125
1622503566.489494,1051868,-112.46546936035156
1622503839.600778,1060069,-111.87020874023438
1622504057.3486013,1066679,-112.39192199707031
1622504095.0020387,1067839,-111.70970153808594
1622504216.1222591,1071558,-112.10808563232422
1622504391.889295,1076805,-112.3982925415039
1622504486.082426,1079640,-112.39659118652344
1622504571.8171077,1082284,-112.55340576171875
1622504866.4365776,1090915,-112.3427505493164
1622504939.0612583,1093152,-111.79055786132812
1622505097.5295296,1097872,-112.80866241455078
1622505381.4100432,1106414,-111.64303588867188
1622505405.0006292,1107144,-112.80502319335938
1622506041.2064927,1126290,-113.2159652709961
1622506269.2933667,1133079,-112.963623046875
1622506519.3062282,1140556,-112.35812377929688
1622506703.1493092,1146205,-113.01571655273438
1622507038.2623327,1156283,-113.56021881103516
1622507231.2224379,1162004,-113.32057189941406
1622507458.3655562,1168788,-113.68760681152344
1622507737.4369943,1177168,-113.36244201660156
1622507889.6729105,1181625,-113.3132095336914
1622507935.3413064,1183022,-113.6021957397461
1622508022.8335013,1185706,-113.45840454101562
1622508990.5709705,1214716,-114.65171813964844
1622509028.1180105,1215645,-114.9137954711914
1622509052.206934,1216366,-114.27761840820312
1622509378.1856716,1226000,-115.29963684082031
1622509535.8819582,1230803,-114.78765869140625
1622509685.9471235,1235180,-114.00255584716797
1622509771.6946218,1237778,-115.30437469482422
1622509993.8653097,1244360,-115.02963256835938
1622510185.4839814,1250008,-114.48945617675781
1622510229.477568,1251348,-114.73123931884766
1622510260.7654777,1252311,-115.43798828125
1622510392.2375605,1256356,-115.51537322998047
1622510394.9620955,1256440,-115.65817260742188
1622510489.4163945,1259149,-115.02729797363281
1622510620.7661753,1263192,-114.78386688232422
1622510827.0775692,1269311,-115.043701171875
1622510929.3848062,1272216,-114.9885482788086
1622511002.443744,1274456,-115.96450805664062
1622511094.5765417,1277295,-115.41468811035156
1622511199.890025,1280333,-115.45391082763672
1622511220.1776087,1280962,-116.13600158691406
1622511369.1045556,1285526,-114.58102416992188
1622511379.6323433,1285836,-115.5982437133789
1622511386.2816098,1286029,-116.14029693603516
1622511952.8547573,1302999,-115.75416564941406
1622512128.8043358,1308216,-115.59957885742188
1622512225.6940413,1311196,-115.29951477050781
1622512384.060729,1315895,-115.0655746459961
1622512431.5133574,1317339,-115.46945190429688
1622512469.7226107,1318512,-116.0233154296875
1622512496.2072248,1319322,-116.21222686767578
1622512572.81392,1321455,-115.70453643798828
1622512693.4334097,1325176,-115.6022720336914
1622513011.4771287,1334888,-115.65164184570312
1622513173.7705064,1339690,-116.19437408447266
1622513174.7775662,1339721,-116.11589813232422
1622513417.8548474,1347209,-115.81932067871094
1622513588.5534596,1352469,-114.75523376464844
1622513589.504659,1352498,-116.29562377929688
1622513602.2095015,1352894,-116.17373657226562
1622513786.5245435,1358388,-116.44950103759766
1622513896.4942193,1361569,-115.21366119384766
1622514218.72968,1371325,-116.49027252197266
1622514879.1776006,1391157,-115.66636657714844
1622515222.3633695,1401318,-116.27458953857422
1622515241.888892,1401905,-115.88777160644531
1622515300.6938295,1403696,-115.8083267211914
1622515503.3209848,1409733,-116.38785552978516
1622515565.5367584,1411661,-116.52911376953125
1622515842.1342192,1420005,-116.29227447509766
1622516213.262669,1431245,-116.83647155761719
1622516446.505529,1438177,-116.71586608886719
1622516564.422555,1441799,-117.33938598632812
1622516683.6467307,1445270,-117.72696685791016
1622516767.2739015,1447849,-117.43904113769531
1622516774.0821927,1448059,-117.23637390136719
1622516867.4810572,1450946,-116.85317993164062
1622516874.9932623,1451179,-118.17533874511719
1622517017.0698411,1455359,-116.6857681274414
1622517024.549024,1455588,-116.82535552978516
1622517285.8696737,1463419,-117.16018676757812
1622517298.538207,1463811,-117.48686981201172
1622517376.7591417,1466212,-118.08859252929688
1622517389.3877032,1466591,-117.2664794921875
1622517895.7744088,1481645,-118.04277801513672
1622517928.4531097,1482651,-117.9389419555664
1622518286.2424276,1493271,-117.676513671875
1622518333.3335695,1494728,-116.89042663574219
1622518581.0464978,1502194,-117.57960510253906
1622518817.741508,1509289,-117.39581298828125
1622518941.3733282,1513112,-118.1979751586914
1622519056.827232,1516686,-118.16007232666016
1622519175.0473423,1520112,-116.48049926757812
1622519182.3461049,1520334,-117.70712280273438
1622519510.4868925,1530192,-118.09805297851562
1622519782.1900468,1538312,-118.40398406982422
1622519995.2811332,1544683,-117.9665298461914
1622520115.330877,1548189,-117.41548919677734
1622520255.9999907,1552527,-118.46025848388672
1622520485.265019,1559391,-117.72052001953125
1622520918.6697042,1572506,-118.29017639160156
1622521169.4961631,1579986,-118.32801055908203
1622521191.395147,1580648,-119.03221130371094
1622521221.4107924,1581554,-117.71904754638672
1622521718.7103758,1596330,-117.58738708496094
1622522262.3737743,1612636,-119.21737670898438
1622522337.045634,1614729,-118.64002990722656
1622522787.41435,1628324,-118.58153533935547
1622522896.7105598,1631462,-118.37702941894531
1622523648.4182363,1653971,-119.08551788330078
1622523897.8415437,1661391,-119.08110809326172
1622524215.369798,1670851,-118.48728942871094
1622524639.2600203,1683321,-118.92572021484375
1622524824.416892,1689013,-118.3268814086914
1622524859.4730868,1689880,-119.59349060058594
1622525235.165077,1701198,-119.19550323486328
1622525584.5620136,1711647,-119.27782440185547
1622525652.112619,1713515,-119.22962951660156
1622525700.5862324,1715016,-118.95744323730469
1622526004.1462438,1724189,-119.85021209716797
1622526070.4980407,1726238,-119.88945770263672
1622526113.1648986,1727558,-119.31610870361328
1622526183.849956,1729702,-119.67826843261719
1622526215.3613381,1730462,-119.5132827758789
1622526545.8666122,1740374,-119.5927505493164
1622526567.3653572,1741034,-120.09259796142578
1622527167.0604155,1758909,-119.59302520751953
1622527188.8524532,1759578,-119.6733627319336
1622527272.853719,1762166,-119.70370483398438
1622527403.4665048,1765977,-120.0014877319336
1622527736.0083418,1776007,-119.5636215209961
1622527921.1877491,1781699,-119.80172729492188
1622527957.7539737,1782830,-119.90583801269531
1622528140.976252,1788285,-120.060302734375
1622528230.2327614,1791038,-120.00598907470703
1622528519.7880018,1799748,-119.94316864013672
1622528719.3097892,1805678,-120.24278259277344
1622528747.4128382,1806548,-120.19722747802734
1622529166.3451533,1819080,-120.09342956542969
1622529195.5330675,1819983,-119.9359359741211
1622529270.9296427,1822302,-119.74373626708984
1622529603.2097108,1832378,-120.2992172241211
1622529661.8017747,1834190,-120.57978057861328
1622529910.2208133,1841657,-119.92760467529297
1622529952.4804232,1842946,-119.69610595703125
1622530074.3294137,1846468,-119.75167083740234
